id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
1919,neutral,defensive,yes,"appeal to authority, pathos, rhetorical questions","fearmongering, selective omission, ad hominem",fallacy of composition
1920,negative,serious,yes,"juxtaposition, appeal to emotion","simplification, scare tactics",false dichotomy
1921,neutral,informative,yes,"statistics, contrast","appeal to authority, selective evidence, fear appeal",hasty generalization
1922,neutral,serious,no,"anecdotal evidence, statistics","fearmongering, transfer",post hoc reasoning
1923,negative,accusatory,yes,"use of statistics, appeal to emotion, contrast","demonization, selective reporting, fearmongering","['hasty generalization', 'post hoc ergo propter hoc']"
1924,negative,critical,no,"anecdote, hyperbole","ad hominem, cherry picking",hasty generalization
1925,negative,critical,no,"generalization, comparison, appeal to authority","name-calling, assertion, cherry-picking","['hasty generalization', 'post hoc ergo propter hoc']"
1926,negative,hostile,yes,"demonization, imagery","emotional appeal, fear-mongering",hasty generalization
1927,positive,defensive,yes,"anaphora, hyperbole","card stacking, glittering generalities",false dilemma
1928,negative,urgent,no,"hyperbole, statistics, anecdote","fearmongering, bandwagon, appeal to authority","['overgeneralization', 'false cause']"
1929,negative,critical,yes,"appeal to authority, contradiction","fearmongering, cherry-picking data",hasty generalization
1930,negative,cautionary,yes,"appeal to authority, hypothetical scenario","fearmongering, slippery slope",appeal to fear
1931,negative,critical,yes,"emotive language, repetition","appeal to fear, lack of evidence",non sequitur
1932,negative,serious,no,"metaphor, contrast","fear-mongering, cherry-picking",false equivalence
1933,negative,critical,yes,"appeal to emotion, loaded language, hyperbole","fear-mongering, misleading statistics",begging the question
1934,neutral,defensive,no,"denial, appeal to authority","bandwagon, card stacking",red herring
1935,neutral,informative,yes,"comparative statement, superlative use","selective reporting, oversimplification",missing context
1936,negative,critical,no,"statistics, contrast, emotional appeal","fear-mongering, cherry-picking, testimonial",hasty generalization
1937,negative,accusatory,no,"appeal to authority, hyperbole","emotive language, selective omission",hasty generalization
1938,negative,accusatory,yes,"assertion, pathos","fear-mongering, misleading information",post hoc ergo propter hoc
1939,neutral,analytical,yes,"cherry-picking, anecdote, appeal to authority","emotional appeal, selective omission",hasty generalization
1940,neutral,critical,yes,"statistical appeal, generalization","fearmongering, scapegoating",hasty generalization
1941,negative,critical,yes,"ad hominem, appeal to authority, straw man","fear mongering, bandwagon, cherry-picking","['post hoc', 'hasty generalization']"
1942,positive,advocative,no,"anecdote, appeal to authority, statistical evidence","loaded language, fear appeal, bandwagon",hasty generalization
1943,negative,accusatory,no,"repetition, hyperbole, contrast, pathos","fearmongering, demonization, selective omission",hasty generalization
1944,neutral,informative,no,"authority, assertion, imagery","glittering generalities, appeal to emotion",hasty generalization
1945,negative,cautiously critical,no,"statistical evidence, contrast","adversarial framing, appeal to fear",hasty generalization
1946,negative,alarmist,no,"ambiguity, loaded language","cherry picking, fear-mongering","['hasty generalization', 'false cause']"
1947,neutral,informative,yes,"metaphor, hyperbole","appeal to authority, bandwagon",hasty generalization
1948,negative,critical,yes,"accusation, contrast, appeal to authority","selective omission, bandwagon effect, misleading statistics","['hasty generalization', 'post hoc ergo propter hoc']"
1949,neutral,cautious,yes,"anecdotal evidence, euphemism, hedging","fearmongering, cherry-picking",hasty generalization
1950,negative,critical,yes,"appeal to reason, contrast","scapegoating, dichotomy",hasty generalization
1951,negative,accusatory,yes,"anaphora, loaded language","ad hominem, fearmongering",straw man
1952,negative,skeptical,no,"contrasting statements, appeal to emotion","fearmongering, normalization",hasty generalization
1953,negative,alarmist,yes,"metaphor,  quoting authority,  hyperbole","fearmongering,  appeal to authority,  demonization","slippery slope, hasty generalization"
1954,negative,accusatory,yes,"hyperbole, anecdotal evidence, ad hominem","fear mongering, cherry picking, false dichotomy",hasty generalization
1955,negative,critical,no,"hyperbole, anaphora, anecdote","ad hominem, appeal to emotion, scare tactics","['hasty generalization', 'appeal to authority']"
1956,negative,critical,yes,"hyperbole, anecdote, contrast","fear-mongering, scapegoating, appeal to authority",hasty generalization
1957,neutral,informative,no,"appeal to authority, statistical evidence, contrast","bandwagon, false dilemma, testimonial",['hasty generalization']
1958,negative,critical,no,"hyperbole, contrast, appeal to authority","cherry-picking, name-calling","['statistical fallacy', 'red herring']"
1959,neutral,defensive,no,"antithesis, appeal to authority","ad hominem, cherry-picking",strawman
1960,neutral,defensive,yes,"logos, contrast","selective omission, fear appeals",false analogy
1961,negative,critical,no,"appeal to authority, contrast, ethos","emotional appeal, simplification","['hasty generalization', 'false dichotomy']"
1962,neutral,informative,no,"appeal to authority, anecdotal evidence, concession","bandwagon, fearmongering, cherry-picking",appeal to ignorance
1963,negative,cautionary,yes,"hyperbole, analogy","fearmongering, scapegoating",hasty generalization
1964,neutral,informative,yes,"hyperbole, appeal to authority","fearmongering, bandwagon",false dilemma
1965,negative,cynical,no,"appeal to authority, anaphora, hyperbole","fearmongering, red herring, appeal to emotion",straw man fallacy
1966,positive,optimistic,no,"appeal to emotion, anecdotal evidence, contrast","fear-mongering, bandwagon, scapegoating","hasty generalization, post hoc ergo propter hoc"
1967,negative,confrontational,yes,"ad hominem, fear appeal","name-calling, card stacking",straw man
1968,neutral,formal,no,"appeal to authority, framing","bandwagon, glittering generalities",none
1969,negative,critical,yes,"specificity, contrast","fear appeal, misleading statistics",false dilemma
1970,negative,critical,yes,"euphemism, rhetorical question, allusion","red herring, bandwagon, fear-mongering",straw man
1971,negative,adversarial,yes,"appeal to authority, hyperbole","fearmongering, demonization",false dilemma
1972,neutral,informative,yes,"exaggeration, urgency, appeal to authority","bandwagon, fearmongering, cherry picking","['hasty generalization', 'false cause']"
1973,negative,critical,no,"hyperbole, appeal to emotion, loaded language","fear-mongering, straw man, anecdotal evidence",slippery slope
1974,positive,advocative,no,"anecdote, generalization","appeal to emotion, bandwagon",hasty generalization
1975,negative,critical,no,"hyperbole, loaded language, appeal to fear","scare tactics, appeal to emotion, misleading statistics",slippery slope
1976,negative,critical,yes,"hyperbole, appeal to fear","emphasis on cost, manipulation of statistics",appeal to emotion
1977,negative,adversarial,yes,"anaphora, quoting authority","demonization, fear-mongering",tu quoque
1978,negative,accusatory,yes,"hyperbole, generalization","scapegoating, emotional appeals",hasty generalization
1979,negative,alarmist,yes,"hyperbole, fear appeal, appeal to authority","misleading statistics, scare tactics, cherry-picking",false dilemma
1980,positive,supportive,yes,"appeal to emotion, framing","bandwagon, fear of missing out",straw man
1981,neutral,informative,no,"rhetorical question,  parallelism,  understatement","appeal to authority,  fearmongering,  emotional appeal",none
1982,negative,critical,no,"contrast, statistics, framing","cherry-picking, emotional appeal, fear-induction","['hasty generalization', 'begging the question']"
1983,negative,critical,yes,"appeal to authority, juxtaposition","misleading context, fear appeal",hasty generalization
1984,neutral,defensive,yes,"evasion, subtext, contradiction","redirection, selective omission, fear appeal","['false analogy', 'fallacy of composition']"
1985,positive,assertive,yes,"hyperbole, appeal to authority","diversion, fear mongering",non sequitur
1986,negative,dismissive,yes,"anecdotal evidence, false analogy, oversimplification","appeal to emotion, bandwagon, misleading statistics",hasty generalization
1987,negative,critical,yes,"appeal to authority, fear mongering","demonization, selective omission",slippery slope
1988,negative,critical,no,"anecdote, appeal to authority","distraction, fearmongering",straw man fallacy
1989,negative,accusatory,no,"appeal to emotion, dichotomy","disinformation, scapegoating",hasty generalization
1990,negative,critical,yes,"contrast, generalization, appeal to authority","selective omission, emotional appeal",hasty generalization
1991,negative,assertive,yes,"comparative analogy, hyperbole, emotive language","appeal to fear, demonization, slippery slope",false analogy
1992,neutral,informative,no,"apology, appeal to emotion, direct address","appeal to authority, fear mongering, simplification","['false dichotomy', 'oversimplification']"
1993,negative,critical,no,"quoting, contrast","fear appeal, assertion",none
1994,positive,supportive,yes,"appeal to authority, hyperbole","card stacking, glittering generalities","['hasty generalization', 'false dichotomy']"
1995,negative,dismissive,yes,"evasion, protest","ad hominem, fear-mongering",red herring
1996,neutral,formal,no,"appeal to authority, juxtaposition","bandwagon, emotional appeal",none
1997,negative,accusatory,yes,"implicature, anaphora, loaded language","name-calling, fearmongering, selective omission",hasty generalization
1998,negative,critical,no,"causal relationship, hyperbole, anecdotal evidence","fear-mongering, cherry-picking, bandwagon",post hoc ergo propter hoc
1999,neutral,ironic,no,"hyperbole, anecdote","appeal to emotion, red herring",false dilemma
2000,negative,critical,no,"contrast, allusion, appeal to authority","demonization, card stacking, fearmongering","['hasty generalization', 'false dichotomy']"
2001,neutral,analytical,yes,"anecdote, contrasting statements, quoting authoritative opinions","card stacking, misleading statistics/information, appeal to authority",hasty generalization
2002,negative,alarmist,yes,"emotive language, statistics, appeal to authority","fearmongering, cherry-picking data, appeal to emotion",hasty generalization
2003,negative,critical,yes,"metaphor, imagery, allusion","fearmongering, ad hominem, scapegoating","['false dilemma', 'slippery slope']"
2004,negative,alarmist,yes,"appeal to authority, historical reference, ambiguity","scare tactics, selective quoting, demonization",hasty generalization
2005,negative,ironic,yes,"contrast, statistical evidence, appeal to authority","fearmongering, selective omission, ad hominem",hasty generalization
2006,negative,concerned and urgent,no,"statistics, stark contrast, amplification","appeal to emotion, assertion, supporting evidence",hasty generalization
2007,negative,critical,yes,"anecdote, allusion","name-calling, card stacking",ad hominem
2008,negative,critical,yes,"appeal to authority, hyperbole","fear-mongering, demonization",hasty generalization
2009,negative,accusatory,no,"ad hominem, appeal to fear, red herring","demonization, card stacking, bandwagon",straw man
2010,negative,critical,yes,"ad hominem, appeal to fear, selective omission","cherry picking, fearmongering, transfer","['post hoc ergo propter hoc', 'hasty generalization']"
2011,positive,optimistic,no,"metaphor, appeal to authority","misleading quotes, emotional appeals",fallacy of accident
2012,positive,optimistic,no,"appeal to authority, contrast, pathos","framing, name-calling, appeal to emotion",overgeneralization
2013,neutral,objective,no,"appeal to authority, statistics","cherry-picking data, fear appeal",non sequitur
2014,negative,alarming,yes,"exaggeration, emotionally charged language","fear-mongering, omission",straw man fallacy
2015,negative,accusatory,yes,"emotional appeal, hyperbole, anecdotal evidence","scapegoating, false dichotomy, appeal to fear",hasty generalization
2016,negative,critical,yes,"generalization, appeal to emotion","fear-mongering, scapegoating","['hasty generalization', 'false cause']"
2017,neutral,informative,no,"ad hominem, appeal to authority, loaded language","selective omission, fear mongering",false cause
2018,negative,indignant,no,"accusation, quantification, contrast","appeal to fear, appeal to class, misleading statistics","hasty generalization, false dichotomy"
2019,negative,skeptical,yes,"appeal to evidence, counterargument","fear mongering, ad hominem",hasty generalization
2020,negative,cynical,no,"understatement, appeal to authority, comparative statement","card stacking, distraction, emotional appeal",hasty generalization
2021,negative,accusatory,no,"hyperbole, anecdote, contrast","fearmongering, scapegoating",hasty generalization
2022,negative,adversarial,no,"comparison, exclusive language","cherry-picking, misdirection",hasty generalization
2023,negative,concerned,yes,"statistics, contrast, appeal to emotion","appeal to emotion, selective omission","['oversimplification', 'hasty generalization']"
2024,neutral,concerned,no,"statistical evidence, hyperbole","fear, emotional appeal","['hasty generalization', 'causal fallacy']"
2025,neutral,critical,yes,"misleading statistics, contrast","scare tactics, card stacking","['hasty generalization', 'appeal to authority']"
2026,negative,critical,yes,"statistics, appeal to emotion, contradiction","bandwagon, fearmongering, misleading comparison","hasty generalization, irrelevant conclusion"
2027,negative,defensive,no,"appeal to authority, contrast","scapegoating, discrediting",hasty generalization
2028,neutral,informative,no,"comparison, appeal to authority, approximation","bandwagon, transfer, euphemism",false analogy
2029,negative,critical,no,"appeal to emotion, scare tactics, use of statistics","card stacking, bait and switch",hasty generalization
2030,negative,accusatory,no,"forced resignation, vagueness","omission, emotional appeal",hasty generalization
2031,neutral,conversational,no,"metaphor, juxtaposition, amplification","appeal to authority, bandwagon, oversimplification","['hasty generalization', 'false dichotomy']"
2032,negative,critical,no,"hyperbole, pathos, comparative","fear-mongering, scapegoating, statistics manipulation",hasty generalization
2033,negative,critical,yes,"contrast, hyperbole","selectivity, ad hominem",post hoc ergo propter hoc
2034,negative,cynical,yes,"anaphora, generalization, dismissive language","scapegoating, appeal to emotion, divisive language",hasty generalization
2035,negative,concerned,no,"implication, appeal to authority, statistical evidence","fearmongering, cherry-picking data",hasty generalization
2036,neutral,informative,yes,"contrast, hyperbole, statistics","appeal to emotion, selective omission","['cherry-picking', 'post hoc reasoning']"
2037,positive,persuasive,yes,"statistical evidence, contrasting statements","appeal to economic prosperity, cherry-picking information",post hoc fallacy
2038,negative,critical,yes,"comparative ranking, appeal to authority, emphasis","statistics, fearmongering, selective omission","['strawman', 'ad hominem']"
2039,neutral,assertive,no,"appeal to logic, authority, repetition","bandwagon, transfer, name-calling","['hasty generalization', 'post hoc']"
2040,neutral,descriptive,no,"appeal to authority, comparison, statistical use","bandwagon, fearmongering, glittering generalities",false equivalence
2041,negative,colloquial,yes,"anecdote, ellipsis, hyperbole","fear-mongering, cherry-picking, othering",hasty generalization
2042,negative,critical,no,"anaphora, appeal to authority","cherry-picking, fearmongering",hasty generalization
2043,negative,confrontational,no,"hyperbole, false dichotomy, appeal to emotion","demonization, pathos",straw man
2044,negative,alarming,no,"hyperbole, appeal to emotion, loaded language","fearmongering, demonization",slippery slope
2045,neutral,analytical,yes,"comparison, contrast, ambiguity","omission, loaded language",post hoc
2046,neutral,analytical,no,"diction, contrast, anaphora","appeal to authority, distraction, historical reference",non-sequitur
2047,negative,cautionary,no,"emphasis, caution","appeal to fear, selectivity","['false dilemma', 'oversimplification']"
2048,negative,concerned,no,"appeal to fear, anecdote, statistic use","card stacking, fearmongering",hasty generalization
2049,negative,critical,yes,"comparison, appeal to authority, statistics","card stacking, fear appeal, bandwagon","['hasty generalization', 'false dichotomy']"
2050,neutral,informative,yes,"statistical evidence, anecdotal evidence","cherry-picking, appeal to authority",post hoc reasoning
2051,neutral,analytical,yes,"statistic appeal, contrast, quoting","ad hominem, fear appeal, false dilemma",straw man
2052,negative,accusatory,no,"labeling, exaggeration, demonization","scapegoating, fear-mongering, cherry-picking",hasty generalization
2053,positive,conversational,no,"metaphor, anecdote, imagery","emotional appeal, testimonial",none
2054,positive,optimistic,no,"historical reference, inclusiveness","appeal to emotion, cherry-picking",hasty generalization
2055,negative,accusatory,no,"frame, appeal to emotion, hyperbole","demonization, selective quote",hasty generalization
2056,negative,critical,yes,"allusion, contrast, hyperbole","fear-mongering, scapegoating, dichotomy","['hasty generalization', 'false dilemma']"
2057,negative,critical,no,"statistics, ellipsis, anecdotal evidence","cherry-picking, fear mongering, misleading statistics",hasty generalization
2058,neutral,informative,yes,"statistics, appeal to authority","card stacking, misleading statement","['hasty generalization', 'false dilemma']"
2059,neutral,objective,yes,"statistic, appeal to authority","card stacking, misleading comparisons",hasty generalization
2060,neutral,informative,no,"conditionality, quantification","appeal to economic benefit, fearmongering",none
2061,negative,critical,no,"comparative rhetoric, anecdotal evidence","fear appeal, scapegoating",non sequitur
2062,negative,critical,yes,"allusion, repetition","cherry-picking, emotional appeal",hasty generalization
2063,negative,accusatory,no,"hyperbole, comparative, anecdote","fear-mongering, cherry-picking, ad hominem",hasty generalization
2064,negative,alarmist,yes,"verbally loaded language, appeal to fear, anaphora","scapegoating, demonization, simplification",post hoc
2065,positive,persuasive,no,"comparison, exemplification","appeal to emotion, false dilemma",hasty generalization
2066,negative,critical,yes,"appeal to authority, dichotomy","scare tactics, cherry-picking",hasty generalization
2067,neutral,analytical,no,"appeal to authority, juxtaposition","bandwagon, fear-mongering",false dichotomy
2068,negative,alarmist,no,"fear appeal, hyperbole","demonization, misleading statistics",hasty generalization
2069,negative,threatening,no,"direct address, hyperbole, implication","fear appeal, emotional appeal",ambiguity
2070,negative,accusatory,no,"anecdote,  appeal to authority","misleading statistics,  fear-mongering",hasty generalization
2071,negative,critical,yes,"statistical evidence, contrast, anecdotal evidence","scare tactics, transfer",hasty generalization
2072,positive,optimistic,yes,"alliteration, hyperbole, inclusive language, contrast","bandwagon, testimonial, loading language","['hasty generalization', 'anecdotal evidence']"
2073,neutral,objective,no,"appeal to authority, ambiguity","unfounded claim, selective omission",['hasty generalization']
2074,negative,critical,yes,"assertion, direct address, quoting authority","emotional appeal, demonization, guilt by association","['hasty generalization', 'red herring']"
2075,negative,accusatory,yes,"hyperbole, anaphora, dichotomy","scare tactics, ad hominem, bandwagon","['hasty generalization', 'straw man']"
2076,positive,optimistic,no,"anecdote, appeal to emotion, contrast","card stacking, scare tactics",red herring
2077,negative,alarmist,no,"hyperbole, comparative statement, euphemism","appeal to fear, bandwagon","['hasty generalization', 'false dilemma']"
2078,positive,informative,yes,"appeal to emotion, use of quotation, constraining language","card stacking, flattery",false dichotomy
2079,positive,assertive,no,"anecdote, appeal to authority","omission, card stacking",hasty generalization
2080,negative,critical,yes,"contrast, appeal to authority, anecdote","demonization, redefinition, fearmongering","hasty generalization, slippery slope"
2081,positive,informative,no,"comparison, superlative","appeal to authority, anecdotal evidence",none identified
2082,negative,cautionary,yes,"conditional statement, imagery, appeal to fear","appeal to authority, fear mongering, testimonial",hasty generalization
2083,negative,defensive,yes,"hyperbole, appeal to emotion, anecdotal evidence","name-calling, fear-mongering, cherry-picking",hasty generalization
2084,neutral,descriptive,no,"exemplification, innuendo, hyperbole","name calling, card stacking, appeal to authority",red herring
2085,negative,accusatory,no,"appeal to authority, dichotomy, emotive language","ad hominem, fear mongering, scapegoating",post hoc ergo propter hoc
2086,neutral,critical,no,"statistics, anecdote","ad hominem, fear-mongering",strawman
2087,negative,alarming,no,"appeal to authority, historical reference","fear appeal, demonization",hasty generalization
2088,neutral,cautious,yes,"anecdotal evidence, appeal to emotion","testimonial, card stacking",red herring
2089,neutral,informative,no,"contrast, exclusion, generalization","appeal to authority, fear appeals, emphasis on popularity","['hasty generalization', 'non sequitur']"
2090,negative,concerned,no,"appeal to emotion, quantification, comparative analysis","emotional appeal, selective omission, framing",none identified
2091,neutral,cautious optimism,no,"anecdote, contrast, allusion","bandwagon, fear-mongering, testimonial",hasty generalization
2092,neutral,informative,no,"metaphor, numerical emphasis, contrast","cherry-picking, appeal to authority, anecdotal evidence","['hasty generalization', 'post hoc']"
2093,positive,confident,no,"comparison, hyperbole, quotation","card stacking, bandwagon, appeal to authority","['false dichotomy', 'hasty generalization']"
2094,negative,cautionary,no,"anaphora, hypothetical scenario, imagery","fear-mongering, scare tactics, appeal to consequences",slippery slope
2095,negative,critical,no,"metaphor, contrast, appeal to emotion","fear-mongering, cherry-picking","false cause, hasty generalization"
2096,negative,critical,yes,"appeal to authority, juxtaposition, loaded language","bandwagon, ad hominem",misleading comparison
2097,negative,aggressive,yes,"hyperbole, anecdote, ad hominem, appeal to emotion","demonization, scapegoating, fearmongering",false cause
2098,neutral,informative,yes,"percentile, appeal to authority, statistical reference","half-truth, fearmongering, misleading statistics","['red herring', 'ambiguity']"
2099,negative,skeptical,no,"claim, hyperbole","anecdotal evidence, appeal to authority",false dichotomy
2100,negative,critical,yes,"authority, appeal to emotion","ad hominem, fearmongering",strawman fallacy
2101,negative,critical,no,"comparison, hyperbole","demonization, fearmongering",false dichotomy
2102,negative,somber,no,"appeal to memory, specificity","fear mongering, emotional appeal",hasty generalization
2103,positive,optimistic,no,"quantification, conditional statement","appeal to emotion, fearmongering",red herring
2104,negative,critical,yes,"juxtaposition, hyperbole, pathos","scare tactics, bandwagon, transfer","['hasty generalization', 'false cause']"
2105,negative,critical,no,"anaphora, contrasting examples, quoting authorities","cherry-picking, false dilemma, appeal to emotion",hasty generalization
2106,neutral,analytical,no,"exaggeration, quoting authority, statistical evidence","fear appeal, statistics manipulation",red herring
2107,negative,critical,no,"anecdote, contrast, appeal to authority","bandwagon, fearmongering","['hasty generalization', 'false cause']"
2108,negative,accusatory,no,"comparison, anecdotal evidence, appeal to authority","scapegoating, fearmongering, selective reporting","hasty generalization, post hoc fallacy"
2109,negative,critical,yes,"contrast, quantification, hyperbole","cherry-picking, fear-mongering","['hasty generalization', 'ad hominem']"
2110,neutral,analytical,no,appeal to authority,statistical manipulation,overgeneralization
2111,positive,optimistic,yes,"comparison, appeal to authority","bandwagon, half-truth",straw man
2112,negative,critical,yes,"allusion, hyperbole, contrasting ideas","ad hominem, fear-mongering, selective evidence",post hoc
2113,negative,aggressive,no,"emotive language, appeal to fear, anchoring","fearmongering, scapegoating, diminishing the opposition",begging the question
2114,negative,critical,yes,"chronological framing, appeal to authority","fear-mongering, selective omission",hasty generalization
2115,negative,critical,no,"appeal to emotion, statistics","scare tactics, name-calling",post hoc fallacy
2116,negative,critical,yes,"appeal to authority, hyperbole, contrast","card stacking, misleading statistics, ad hominem",false dichotomy
2117,positive,optimistic,yes,"comparison, acknowledgment","selective omission, emotive language",oversimplification
2118,neutral,informative,yes,"anecdotal evidence, appeal to authority","cherry picking, fear-mongering",hasty generalization
2119,negative,cynical,yes,"rhetorical question, contrast, appeal to authority","cherry-picking, demonization, misleading statistics",straw man fallacy
2120,neutral,informative,no,"anecdotal evidence, generalization, counterargument","scare tactics, oversimplification, selective disclosure",hasty generalization
2121,negative,critical,no,"statistics, contrast, quoting authority","appeal to emotion, oversimplification, selective statistics",['false dilemma']
2122,negative,critical,no,"hyperbole, appeal to emotion, contrast","scapegoating, bandwagon, cherry-picking",post hoc reasoning
2123,neutral,informative,no,"allusion, contrast, hyperbole","bandwagon, fear-mongering, simplification",none identified
2124,neutral,analytical,no,"repetition, contrast","card stacking, fearmongering",none
2125,negative,alarmist,yes,"hyperbole, appeal to emotion, distortion","fearmongering, cherry picking, demonization","['slippery slope', 'false dichotomy']"
2126,negative,critical,yes,"comparison, appeal to authority","cherry-picking, bandwagon","hasty generalization, post hoc"
2127,neutral,optimistic,yes,"hyperbole, anecdotal evidence, direct address","appeal to emotion, cherry-picking, scapegoating","['post hoc', 'hasty generalization']"
2128,neutral,informative,no,"contrast,  enumeration,  rhetorical question","appeal to authority,  fear appeal",non sequitur
2129,neutral,informative,no,"assertion, contrast","selective omission, appeal to authority",hasty generalization
2130,negative,critical,yes,"appeal to patriotism, definition, contrasting ideas","emotional appeals, selective evidence, fear inducement",hasty generalization
2131,positive,assertive,no,"hyperbole, contrast","appeal to authority, fear-mongering",false dilemma
2132,neutral,informative,no,"analogy, quantification, conversational tone","downplaying risk, future projection",false equivalence
2133,negative,critical,no,"counterfactual, conditionality","fear-mongering, cherry-picking",post hoc ergo propter hoc
2134,negative,controversial,yes,"euphemism, ambiguity","appeal to authority, selective omission",['false cause']
2135,negative,serious,yes,"appeal to authority, pathos, ad hominem","bandwagon, fearmongering, demonization of opposition",strawman fallacy
2136,negative,critical,no,"appeal to consequences, hyperbole, scare tactics","ad hominem, fear-mongering, misleading statistics",slippery slope
2137,negative,dismissive,yes,hyperbole,scare tactics,false dichotomy
2138,positive,optimistic,no,"hyperbole, appeal to tradition","card stacking, glittering generalities",hasty generalization
2139,positive,celebratory,no,"exaggeration, historical context, specificity","glittering generalities, bandwagon, appeal to authority",hasty generalization
2140,negative,critical,yes,"appeal to emotion, amplification, false dilemma","fearmongering, scapegoating, selective omission",hasty generalization
2141,negative,critical,no,"hyperbole, emotive language","fearmongering, straw man",hasty generalization
2142,negative,critical,yes,"contrast, appeal to authority, anecdote","cherry-picking, ad hominem, bandwagon","straw man, false cause"
2143,negative,critical,no,"hyperbole, comparative statement","appeal to emotion, selective statistics",hasty generalization
2144,neutral,informative,no,"assertion, clarification","minimization, comparison",none
2145,negative,cautionary,no,"hypothetical scenario,  anecdote,  contrast","cherry-picking data,  appeal to history,  fearmongering",false analogy
2146,neutral,informative,yes,"innuendo, contrast, appeal to authority","selective omission, loaded language, false dichotomy","['hasty generalization', 'reductio ad absurdum']"
2147,negative,accusatory,yes,"first person narrative, allusion, contrasting statements","labeling, appeal to authority, fear appeal","['straw man', 'red herring']"
2148,negative,critical,no,"contrast, causal relationship, allusion","appeal to fear, bandwagon, scapegoating",hasty generalization
2149,negative,alarmist,yes,"hyperbole, appeal to emotion, cause and effect","scare tactics, demonization, appeal to fear",oversimplification
2150,positive,optimistic,yes,"statistics, contrast","card stacking, doubt and confusion",non sequitur
2151,neutral,reflective,no,"quotation, appeal to authority, contrast","framing, appeal to emotion",hasty generalization
2152,neutral,balanced,no,"statistical data, appeal to authority, conditional statement","bandwagon, fear-mongering, misleading statistics","['false dichotomy', 'hasty generalization']"
2153,positive,optimistic,no,"metaphor, emphasis, contrast","appeal to emotion, selective omission, generalization",hasty generalization
2154,negative,worrisome,no,"statistics, contrast, appeal to fear","selective presentation of facts, emotional appeal",post hoc ergo propter hoc
2155,negative,cautionary,yes,"appeal to emotion, anecdote, contrast","card stacking, fearmongering, name-calling","hasty generalization, false cause"
2156,negative,critical,no,"hyperbole, appeal to authority","bandwagon, fearmongering",hasty generalization
2157,neutral,analytical,no,"appeal to emotion, rhetorical question","fear-based appeal, ambiguity",ambiguity fallacy
2158,negative,concerned,no,"analogy, appeal to authority, rhetorical question","fearmongering, appeal to emotion, selective statistics","['false dilemma', 'post hoc']"
2159,negative,accusatory,yes,"reference to authority, hyperbole, contrast","cherry-picking, scapegoating, loaded language",hasty generalization
2160,negative,indignant,yes,"metaphor, allegory, allusion","fear-mongering, demonization, scapegoating",ad hominem
2161,negative,cautionary,no,"conditional statement, hyperbole","fearmongering, cherry-picking statistics",slippery slope
2162,negative,dismissive,no,"hyperbole, metaphor","fear-mongering, appeal to authority",fallacy of composition
2163,neutral,analytical,no,"refuting an argument, anecdotal evidence","cherry-picking, appeal to authority",hasty generalization
2164,positive,optimistic,no,"anecdotal evidence, contradiction","appeal to authority, framing",straw man
2165,negative,confrontational,yes,"hyperbole, direct quotation","fear-mongering, ad hominem","['slippery slope', 'false dilemma']"
2166,negative,cautionary,no,"conditional statement, statistics, appeal to emotion","card stacking, association",hasty generalization
2167,negative,cautionary,no,"appeal to authority, anecdotal evidence","fear-mongering, cherry-picking","['hasty generalization', 'equivocation']"
2168,neutral,defensive,no,"evasion, repetition","selective omission, red herring",ambiguity
2169,negative,definitive,yes,"assertion, repetition, appeal to emotion","glittering generalities, card stacking, testimonial",overgeneralization
2170,negative,reflective,no,"anecdote, contrast, emphasis","appeal to emotion, fear-mongering, omission",hasty generalization
2171,neutral,informative,no,"metaphor, anecdote","appeal to authority, selective omission",hasty generalization
2172,negative,accusatory,yes,"ad hominem, appeal to authority, dichotomy","scapegoating, fear mongering, misleading statistics",hasty generalization
2173,negative,critical,yes,"allusion, hyperbole","demonization, appeal to emotion",hasty generalization
2174,positive,defensive,no,"contrast, anecdote","fear-mongering, appeal to authority",slippery slope
2175,negative,cautionary,no,"hyperbole, metaphor","fearmongering, false dichotomy",appeal to ignorance
2176,negative,concerned,no,"generalization, contrasting","appeal to emotion, scapegoating",hasty generalization
2177,negative,critical,yes,"hyperbole, comparative analysis, appeal to emotion","selective omission, euphemism, fear appeal",hasty generalization
2178,negative,critical,no,"appeal to authority, hyperbole, contrast","bandwagon, fearmongering, red herring",hasty generalization
2179,negative,critical,no,"specificity, authority","appeal to emotion, discrediting",hasty generalization
2180,negative,cautionary,no,"appeal to authority, loaded language, anaphora","fearmongering, red herring, bandwagon",ad hominem
2181,neutral,informative,no,"anecdote, appeal to authority, quantification","cherry-picking, fear-mongering, glittering generalities",fallacy of composition
2182,negative,critical,no,"appeal to authority, hyperbole","cherry picking, discrediting",slippery slope
2183,negative,critical,no,"hyperbole, anecdote","appeal to emotion, statistics",['false cause']
2184,negative,serious,no,"appeal to fear, repetition, hyperbole","card stacking, name-calling, half-truth","['fallacy of ambiguity', 'ad hominem']"
2185,neutral,critical,yes,"metaphor, loaded language, contrast","card stacking, ad hominem, fearmongering",fallacy of false dichotomy
2186,negative,alarmist,yes,"sarcasm, hyperbole, allusion","fear-mongering, scare tactics, scapegoating",hasty generalization
2187,negative,defensive,yes,"antithesis, appeal to authority, hyperbole","cherry-picking, false dichotomy, appeal to emotion",straw man fallacy
